pkgOrFolder,class,method,auxScript
iris20140508/classlib,@modelobj,export,
iris20140508/classlib,@modelobj,emptydb,
iris20140508/classlib,@modelobj,chkpriors,
iris20140508/classlib,@modelobj,autocaption,
iris20140508/classlib,@modelobj,assign,
iris20140508/classlib,@modelobj,vertcat,
iris20140508/classlib,@modelobj,specget,
iris20140508/classlib,@modelobj,size,
iris20140508/classlib,@modelobj,saveobj,
iris20140508/classlib,@modelobj,mynameposition,
iris20140508/classlib,@modelobj,mysubsalt,
iris20140508/classlib,@modelobj,mytune2stdcorr,
iris20140508/classlib,@modelobj,mycorrnames,
iris20140508/classlib,@modelobj,myalias,
iris20140508/classlib,@modelobj,mynameindex,
iris20140508/classlib,@modelobj,mycombinestdcorr,
iris20140508/classlib,@modelobj,loadobj,
iris20140508/classlib,@modelobj,empty,
iris20140508/classlib,@modelobj,get,
iris20140508/classlib,@modelobj,userdatafield,
iris20140508/classlib,@modelobj,userdata,
iris20140508/classlib,@modelobj,comment,
iris20140508/classlib,@modelobj,caption,
iris20140508/classlib,@modelobj,display,
